학교명,학교급,구군,날짜,요일,급식구분,급식인원,칼로리(Kcal),탄수화물(g),단백질(g),지방(g),튀김_면류_여부
가남초등학교,초등학교,부산진구,2026-05-06,수,중식,170,690.7,96.7,47.4,12.5,1
가남초등학교,초등학교,부산진구,2026-05-07,목,중식,170,630.9,78.2,28.8,22.2,1
가남초등학교,초등학교,부산진구,2026-05-08,금,중식,170,716.9,97.0,32.6,21.1,1
가남초등학교,초등학교,부산진구,2026-05-11,월,중식,170,621.6,85.8,18.4,21.8,1
가남초등학교,초등학교,부산진구,2026-05-12,화,중식,170,599.8,95.2,25.7,12.6,0
가동초등학교,초등학교,기장군,2026-05-06,수,중식,1029,668.7,84.5,25.0,26.5,1
가동초등학교,초등학교,기장군,2026-05-07,목,중식,1029,688.2,103.9,23.5,19.3,0
가동초등학교,초등학교,기장군,2026-05-08,금,중식,1029,668.5,74.4,29.7,26.2,0
가동초등학교,초등학교,기장군,2026-05-11,월,중식,1029,617.2,84.6,33.5,14.5,0
가동초등학교,초등학교,기장군,2026-05-12,화,중식,1029,544.5,99.2,15.5,8.2,1
가락중학교,중학교,강서구,2026-05-06,수,중식,529,772.0,119.6,31.4,18.5,1
가락중학교,중학교,강서구,2026-05-07,목,중식,529,786.7,115.4,27.7,22.8,0
가락중학교,중학교,강서구,2026-05-08,금,중식,529,789.0,108.0,35.6,23.0,1
가락중학교,중학교,강서구,2026-05-11,월,중식,529,811.7,115.3,34.1,22.5,0
가락중학교,중학교,강서구,2026-05-12,화,중식,529,803.2,124.1,38.4,16.1,0
감만중학교,중학교,남구,2026-05-06,수,중식,328,1028.4,105.4,42.0,47.9,1
감만중학교,중학교,남구,2026-05-07,목,중식,328,836.5,141.5,26.2,16.2,1
감만중학교,중학교,남구,2026-05-08,금,중식,328,677.0,95.0,29.6,18.8,1
감만중학교,중학교,남구,2026-05-11,월,중식,328,1066.4,127.4,49.8,36.3,0
감만중학교,중학교,남구,2026-05-12,화,중식,328,724.1,103.0,34.2,18.7,0
건국고등학교,고등학교,사하구,2026-05-04,월,중식,791,813.0,127.7,32.8,21.7,0
건국고등학교,고등학교,사하구,2026-05-06,수,중식,791,817.2,137.9,30.0,20.3,1
건국고등학교,고등학교,사하구,2026-05-07,목,중식,791,826.6,126.4,36.1,20.0,0
건국고등학교,고등학교,사하구,2026-05-08,금,중식,791,801.6,129.6,37.5,15.7,0
건국고등학교,고등학교,사하구,2026-05-11,월,중식,791,903.3,131.3,37.2,24.2,0
경남고등학교,고등학교,서구,2026-05-06,수,중식,556,1002.5,126.5,55.2,28.7,1
경남고등학교,고등학교,서구,2026-05-07,목,중식,556,1026.9,124.2,57.5,31.1,0
경남고등학교,고등학교,서구,2026-05-08,금,중식,556,1422.4,180.5,90.5,36.1,1
경남고등학교,고등학교,서구,2026-05-11,월,중식,556,1096.9,137.3,66.0,29.5,1
경남고등학교,고등학교,서구,2026-05-12,화,중식,556,1188.9,165.0,67.0,25.6,0
